BusID,RouteID,BusNumber,Capacity
1,7,Bus 1,30
2,1,Bus 2,60
3,2,Bus 3,40
4,1,Bus 4,50
5,2,Bus 5,60
6,10,Bus 6,50
7,8,Bus 7,30
8,7,Bus 8,50
9,2,Bus 9,30
10,6,Bus 10,60
11,8,Bus 11,50
12,3,Bus 12,50
13,1,Bus 13,50
14,2,Bus 14,40
15,7,Bus 15,40
16,7,Bus 16,60
17,1,Bus 17,40
18,9,Bus 18,60
19,9,Bus 19,50
20,2,Bus 20,30
21,2,Bus 21,40
22,10,Bus 22,30
23,7,Bus 23,50
24,2,Bus 24,40
25,6,Bus 25,40
26,3,Bus 26,40
27,5,Bus 27,40
28,6,Bus 28,30
29,8,Bus 29,40
30,4,Bus 30,50
31,1,Bus 31,30
32,8,Bus 32,30
33,10,Bus 33,60
34,1,Bus 34,40
35,2,Bus 35,50
36,10,Bus 36,30
37,5,Bus 37,50
38,1,Bus 38,50
39,9,Bus 39,40
40,7,Bus 40,40
